I,Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,IP Rating,Product,Contact Gender,Termination Style,UID
4725,235-SJT07RT12DS029J,SJT07RT12-35DS029J,Amphenol Air LB Germany,https://www.mouser.com/datasheet/2/18/1/Amphenol_SJT_Datenstecker_V30092021_EN-2933970.pdf,16  In Stock,$69.63,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Amphenol-Air-LB-Germany/SJT07RT12-35DS029J?qs=sGAEpiMZZMvwyOPDUMfDHyfqBI9DgRS6BMBF4wuvvIo9cYpFRq4UiQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SJT07RT12-35DS029J&utm_content=Amphenol-Air-LB-Germany,,Receptacles,Socket (Female),Crimp,78
4727,523-MRDAP02M15000,MRDAP02M15000,Amphenol Commercial Products,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_harsh_mrd.pdf,57  In Stock,$11.58,,New Product,https://www.mouser.com/ProductDetail/Amphenol-Commercial-Products/MRDAP02M15000?qs=sGAEpiMZZMvwyOPDUMfDHyfqBI9DgRS6Uui6wGLWpSP%2F2ivBxf0MOg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MRDAP02M15000&utm_content=Amphenol-Commercial-Products,,,,,584
4728,235-SJT07RT103DS029J,SJT07RT10-35DS029J,Amphenol Air LB Germany,https://www.mouser.com/datasheet/2/18/1/Amphenol_SJT_Datenstecker_V30092021_EN-2933970.pdf,24  In Stock,$62.32,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Amphenol-Air-LB-Germany/SJT07RT10-35DS029J?qs=sGAEpiMZZMvwyOPDUMfDHyfqBI9DgRS6Xi9SRWYohuejFAcQdrXxCw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SJT07RT10-35DS029J&utm_content=Amphenol-Air-LB-Germany,,Receptacles,Socket (Female),Crimp,78
4730,235-SJT00RT1035DS014,SJT00RT10-35DS014,Amphenol Air LB Germany,https://www.mouser.com/datasheet/2/18/1/Amphenol_SJT_Datenstecker_V30092021_EN-2933970.pdf,20  In Stock,$30.79,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Amphenol-Air-LB-Germany/SJT00RT10-35DS014?qs=sGAEpiMZZMvwyOPDUMfDHyfqBI9DgRS6XLEh8f5jYeDQ6%2FO0syXN6A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SJT00RT10-35DS014&utm_content=Amphenol-Air-LB-Germany,,Receptacles,Socket (Female),Crimp,78
4733,523-TV06ZN25E6PA,TV06ZN25E6PA,Amphenol Socapex,https://www.mouser.com/datasheet/2/18/1/Amphenol_11162020_Powersafe_catalog-1923572.pdf,6  In Stock,$868.49,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Socapex/TV06ZN25E6PA?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6niWcLog4TVFt403j52y3Qhw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TV06ZN25E6PA&utm_content=Amphenol-Socapex,,Receptacles,Pin (Male),Crimp,366
4734,523-TV07ZN17E6P,TV07ZN17E6P,Amphenol Socapex,https://www.mouser.com/datasheet/2/18/1/Amphenol_11162020_Powersafe_catalog-1923572.pdf,12  In Stock,$713.08,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Socapex/TV07ZN17E6P?qs=sGAEpiMZZMvwyOPDUMfDH11D%2FviRRGo4XbKpo7YRUpqZhlVpAKZeeg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TV07ZN17E6P&utm_content=Amphenol-Socapex,,Receptacles,Pin (Male),Crimp,366
4735,523-TV06ZN25E6SA,TV06ZN25E6SA,Amphenol Socapex,https://www.mouser.com/datasheet/2/18/1/Amphenol_11162020_Powersafe_catalog-1923572.pdf,3  In Stock,"$1,331.71",RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Socapex/TV06ZN25E6SA?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6nf8XgeZwGnd6VgF7VCNSUPg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TV06ZN25E6SA&utm_content=Amphenol-Socapex,,Receptacles,Pin (Male),Crimp,366
4737,179-CDM80708AFWR8050,CDM807-08A-FW-R805-050-67,CUI Devices,https://www.mouser.com/datasheet/2/670/cdm807-3159342.pdf,177  In Stock,$12.88,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI-Devices/CDM807-08A-FW-R805-050-67?qs=sGAEpiMZZMvwyOPDUMfDHyfqBI9DgRS6qwp4%2FsBvoFj0FWKdQeAKCA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CDM807-08A-FW-R805-050-67&utm_content=CUI-Devices,IP67,Connectors,,Wire,559
4738,523-TV06ZN25E6P,TV06ZN25E6P,Amphenol Socapex,https://www.mouser.com/datasheet/2/18/1/Amphenol_11162020_Powersafe_catalog-1923572.pdf,2  In Stock,$827.14,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Socapex/TV06ZN25E6P?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6nFTbbF1VDpezOePeoTU%252BFAA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TV06ZN25E6P&utm_content=Amphenol-Socapex,,Receptacles,Pin (Male),Crimp,366
4739,523-TV07ZN13E4SA,TV07ZN13E4SA,Amphenol Socapex,https://www.mouser.com/datasheet/2/18/1/Amphenol_11162020_Powersafe_catalog-1923572.pdf,5  In Stock,$580.26,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Socapex/TV07ZN13E4SA?qs=sGAEpiMZZMvwyOPDUMfDH11D%2FviRRGo4FR%252BxqLFhH3QKpguHiaCF7A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TV07ZN13E4SA&utm_content=Amphenol-Socapex,,Receptacles,Pin (Male),Crimp,366
