I,Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,IP Rating,Product,Contact Gender,Termination Style,UID
352,798-HR30-6JB-6P,HR30-6JB-6P,Hirose Connector,https://www.mouser.com/datasheet/2/185/hiros11311_1-2269426.pdf,Non-Stocked Lead-Time 28 Weeks,$7.32,RoHS Compliant,,https://www.mouser.com/ProductDetail/Hirose-Connector/HR30-6JB-6P?qs=sGAEpiMZZMvwyOPDUMfDH%2FWV64PKc%2FFgopt0MyJyx8U%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HR30-6JB-6P&utm_content=Hirose-Connector,"IP67, 68",Connectors,Pin (Male),Solder,295
353,651-1552984,1552984,Phoenix Contact,https://www.phoenixcontact.com/us/products/1552984/pdf,Non-Stocked,$14.19,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1552984?qs=sGAEpiMZZMvwyOPDUMfDH3QFH%2F4Fm5s%252BEgNAfCJ2%252Bpk%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1552984&utm_content=Phoenix-Contact,"IP65, IP67",,,Solder,296
354,651-1456514,1456514,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1456514-1413835.pdf,Non-Stocked Lead-Time 22 Weeks,$19.44,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1456514?qs=sGAEpiMZZMvwyOPDUMfDH5eLqxzyEZqWbBM83KpBjCUgrKPxJmo1KQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1456514&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Pin (Male),Solder,297
355,571-T4145435031-001,T4145435031-001,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T41454350X1001&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4145435031-001&DocFormat=pdf,Non-Stocked Lead-Time 23 Weeks,$12.66,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4145435031-001?qs=sGAEpiMZZMvwyOPDUMfDH11D%2FviRRGo4pSrJ%252BWn2Km9G2hQLZb4LaA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4145435031-001&utm_content=TE-Connectivity,"IP67, IP68",,Socket (Female),Solder,298
356,571-T4133412031-000,T4133412031-000,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T41334120X1000&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4133412031-000&DocFormat=pdf,Non-Stocked Lead-Time 18 Weeks,$5.03,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4133412031-000?qs=sGAEpiMZZMvwyOPDUMfDH9nCHP93OR0SaGLDCMR1Gfgd0QktCYFlgw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4133412031-000&utm_content=TE-Connectivity,"IP67, IP68",,Socket (Female),Solder,299
357,571-T4140412031-000,T4140412031-000,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T41404120X1000&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4140412031-000&DocFormat=pdf,Non-Stocked Lead-Time 18 Weeks,$6.73,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4140412031-000?qs=sGAEpiMZZMvwyOPDUMfDH9nCHP93OR0SuIlRMZhQLRmk1t%2FrBaF%252BXA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4140412031-000&utm_content=TE-Connectivity,"IP67, IP68",,Pin (Male),Solder,300
358,571-T4140412021-000,T4140412021-000,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T41404120X1000&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4140412021-000&DocFormat=pdf,Non-Stocked Lead-Time 23 Weeks,$6.22,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4140412021-000?qs=sGAEpiMZZMvwyOPDUMfDH9nCHP93OR0Szkd0ga0WV6JWnO7ckqjw6Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4140412021-000&utm_content=TE-Connectivity,"IP67, IP68",,Pin (Male),Solder,301
359,651-1456572,1456572,Phoenix Contact,https://www.phoenixcontact.com/us/products/1456572/pdf,Non-Stocked Lead-Time 14 Weeks,$19.80,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1456572?qs=sGAEpiMZZMvwyOPDUMfDH5eLqxzyEZqWbeu6T9MlS3ODOnXFr0KSKg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1456572&utm_content=Phoenix-Contact,"IP65, IP67",,Pin (Male),Solder,302
360,235-1331M303MZ,1331M303MZ,Amphenol Air LB Germany,https://www.mouser.com/datasheet/2/18/1/Amphenol_ECTA_133_10_2017_-1893448.pdf,Non-Stocked Lead-Time 24 Weeks,$132.45,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Air-LB-Germany/1331M303MZ?qs=sGAEpiMZZMvwyOPDUMfDH5ReICh4qC7T6hQF8UNOmos%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1331M303MZ&utm_content=Amphenol-Air-LB-Germany,"IP66, IP67",Connectors,Pin (Male),Solder,303
361,571-T4145435021-001,T4145435021-001,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T41454350X1001&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4145435021-001&DocFormat=pdf,Non-Stocked Lead-Time 23 Weeks,$12.26,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4145435021-001?qs=sGAEpiMZZMvwyOPDUMfDH11D%2FviRRGo4kH3vEDM%2F1kunU4iTXT3lrQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4145435021-001&utm_content=TE-Connectivity,"IP67, IP68",,Socket (Female),Solder,304
362,571-T4132412021-000,T4132412021-000,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T41324120X1000&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4132412021-000&DocFormat=pdf,Non-Stocked Lead-Time 18 Weeks,$6.22,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4132412021-000?qs=sGAEpiMZZMvwyOPDUMfDH9nCHP93OR0SappoEpRtN%252BsVfevTmdV3JA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4132412021-000&utm_content=TE-Connectivity,"IP67, IP68",,Pin (Male),Solder,305
363,571-T4143012031-000,T4143012031-000,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T41430120X1000&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4143012031-000&DocFormat=pdf,Non-Stocked Lead-Time 18 Weeks,$7.10,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4143012031-000?qs=sGAEpiMZZMvwyOPDUMfDH9nCHP93OR0ShU%252B62t%252Bbo43UQFRSc2Rv2g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4143012031-000&utm_content=TE-Connectivity,"IP67, IP68",,Socket (Female),Solder,306
364,571-T4132512021-000,T4132512021-000,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T41325120X1000&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4132512021-000&DocFormat=pdf,Non-Stocked Lead-Time 21 Weeks,$6.22,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4132512021-000?qs=sGAEpiMZZMvwyOPDUMfDH9nCHP93OR0SwcAni6kgVvtJNiWJpRLwaQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4132512021-000&utm_content=TE-Connectivity,"IP67, IP68",,Pin (Male),Solder,307
365,651-1457979,1457979,Phoenix Contact,https://www.phoenixcontact.com/us/products/1457979/pdf,Non-Stocked Lead-Time 14 Weeks,$18.97,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1457979?qs=sGAEpiMZZMvwyOPDUMfDH5eLqxzyEZqW7Lxs2EIThlHwlGQaBHfPZA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1457979&utm_content=Phoenix-Contact,"IP65, IP67",,Pin (Male),Solder,308
366,651-1457966,1457966,Phoenix Contact,https://www.phoenixcontact.com/us/products/1457966/pdf,Non-Stocked Lead-Time 14 Weeks,$19.38,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1457966?qs=sGAEpiMZZMvwyOPDUMfDH5eLqxzyEZqWeAqpSdmZaKo%252Br43DzagLKw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1457966&utm_content=Phoenix-Contact,"IP65, IP67",,Socket (Female),Solder,309
367,571-T4131512031-000,T4131512031-000,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T41315120X1000&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4131512031-000&DocFormat=pdf,Non-Stocked Lead-Time 21 Weeks,$5.03,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4131512031-000?qs=sGAEpiMZZMvwyOPDUMfDH9nCHP93OR0SPAwOybo3cfinDlhtJzzEOA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4131512031-000&utm_content=TE-Connectivity,"IP67, IP68",,Socket (Female),Solder,310
368,571-T4132512031-000,T4132512031-000,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T41325120X1000&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4132512031-000&DocFormat=pdf,Non-Stocked Lead-Time 18 Weeks,$6.73,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4132512031-000?qs=sGAEpiMZZMvwyOPDUMfDH9nCHP93OR0S%2FahVKI8%252BaOee4Pueqy30jA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4132512031-000&utm_content=TE-Connectivity,"IP67, IP68",,Pin (Male),Solder,311
369,571-T4140512031-000,T4140512031-000,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T41405120X1000&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4140512031-000&DocFormat=pdf,Non-Stocked Lead-Time 18 Weeks,$6.73,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4140512031-000?qs=sGAEpiMZZMvwyOPDUMfDH9nCHP93OR0SDd9wM0fBeedoKVAZO24VxA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4140512031-000&utm_content=TE-Connectivity,"IP67, IP68",,Pin (Male),Solder,312
370,538-1200845012,1200845012,Molex,https://www.mouser.com/datasheet/2/276/1/1200845012_sd-1535466.pdf,Non-Stocked,$51.91,,,https://www.mouser.com/ProductDetail/Molex/1200845012?qs=sGAEpiMZZMvwyOPDUMfDH11D%2FviRRGo4qEllOKtP%2FdDzrXfDEXJGWg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1200845012&utm_content=Molex,IP69X,,Socket (Female),Solder,313
371,571-T4145535021-001,T4145535021-001,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T41455350X1001&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4145535021-001&DocFormat=pdf,Non-Stocked Lead-Time 40 Weeks,$12.26,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4145535021-001?qs=sGAEpiMZZMvwyOPDUMfDH11D%2FviRRGo4z82J0hIRSi%252B%2FpE1eT7oIxA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4145535021-001&utm_content=TE-Connectivity,"IP67, IP68",,Socket (Female),Solder,314
372,651-1457872,1457872,Phoenix Contact,https://www.phoenixcontact.com/us/products/1457872/pdf,Non-Stocked Lead-Time 14 Weeks,$18.97,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1457872?qs=sGAEpiMZZMvwyOPDUMfDH5eLqxzyEZqWWH93F%252Brg1xPIcmxkd88lBg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1457872&utm_content=Phoenix-Contact,"IP65, IP67",,Pin (Male),Solder,315
373,651-1441969,1441969,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1441969-1413421.pdf,Non-Stocked Lead-Time 22 Weeks,$62.68,RoHS Compliant,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1441969?qs=sGAEpiMZZMvwyOPDUMfDH8m9kjzMa%2FJb4XcLsy%2FmlpI%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1441969&utm_content=Phoenix-Contact,"IP65, IP67",Connectors,Pin (Male),Solder,316
374,571-T4131412021-000,T4131412021-000,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T41314120X1000&DocType=Customer+Drawing&DocLang=English&PartCntxt=T4131412021-000&DocFormat=pdf,Non-Stocked Lead-Time 21 Weeks,$6.32,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/T4131412021-000?qs=sGAEpiMZZMvwyOPDUMfDH9nCHP93OR0S7xGUTq6yZho7d%2FHNC6PIow%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T4131412021-000&utm_content=TE-Connectivity,"IP67, IP68",,Socket (Female),Solder,317
375,706-42-01014,42-01014,Amphenol CONEC,https://www.mouser.com/datasheet/2/18/1/cnec_s_a0009642113_1-3008100.pdf,350  In Stock,$2.41,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-CONEC/42-01014?qs=sGAEpiMZZMvwyOPDUMfDH4JH7HCKnWcmdQ4t%252Bz4dYBGV3T4G7%2FGt%2FA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=42-01014&utm_content=Amphenol-CONEC,IP67,Connectors,Pin (Male),Solder,318
376,651-1440067,1440067,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1440067-1413189.pdf,111  In Stock,$25.30,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1440067?qs=sGAEpiMZZMvwyOPDUMfDH%252BaRt3R%252BMsMFOH1c2AwzfnU%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1440067&utm_content=Phoenix-Contact,IP67,Connectors,Socket (Female),Through Hole,319
377,617-21033176805,21033176805,HARTING,https://www.mouser.com/datasheet/2/179/PDF_DS_21033176805_EN-2482569.pdf,514  In Stock,$20.16,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/HARTING/21033176805?qs=sGAEpiMZZMvwyOPDUMfDH7Ylu1xi59tum6Sv7mKUutCZSbdYpTaTMQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=21033176805&utm_content=HARTING,IP67,Connectors,Socket (Female),Wire,320
378,654-MB3ZSN8HS1,MB3ZSN8HS1,Amphenol SINE Systems,https://www.amphenol-sine.com/pdf/datasheet/MB3ZSN8HS1.pdf,21  In Stock,$35.99,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-SINE-Systems/MB3ZSN8HS1?qs=sGAEpiMZZMvwyOPDUMfDH5%252BOveMIjk8pEbPdLXRhJOipuk%252BerDVGeQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MB3ZSN8HS1&utm_content=Amphenol-SINE-Systems,IP67,Connectors,Without Pin Contacts,Solder,321
379,651-1619764,1619764,Phoenix Contact,https://www.mouser.com/datasheet/2/324/4/1619764-1424212.pdf,92  In Stock,$43.75,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1619764?qs=sGAEpiMZZMvwyOPDUMfDH5eLqxzyEZqWs10e98XLFqJTWYDU3DjxoA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1619764&utm_content=Phoenix-Contact,IP67,Connectors,Socket (Female),Solder,322
380,523-BB-04BFFA-LL7001,BB-04BFFA-LL7001,Amphenol LTW,https://www.amphenolltw.com/p2-products-detail-download.php?sn=806&dd=1&ff=2012download/2D%20PDF/01_Circular%20Connectors/BB-04BFFA-LL7001.pdf,167  In Stock,$8.82,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-LTW/BB-04BFFA-LL7001?qs=sGAEpiMZZMvwyOPDUMfDHwjnAW%2FALQ2vaA6oNNFLh6OWUJh%252B61%2FdCw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BB-04BFFA-LL7001&utm_content=Amphenol-LTW,IP67,Connectors,Socket (Female),Solder,323
381,651-1411068,1411068,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1411068-1407801.pdf,236  In Stock,$34.28,RoHS Compliant,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1411068?qs=sGAEpiMZZMvwyOPDUMfDH9l9s30lBUs0nN8vaPEry19FE8gIKt0wcA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1411068&utm_content=Phoenix-Contact,IP65,Connectors,Pin (Male),IDC,324
382,736-EPY00250NTN,EPY.00.250.NTN,LEMO,https://www.mouser.com/datasheet/2/232/EPY_00_250_NTN-1844966.pdf,,$49.23,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/LEMO/EPY.00.250.NTN?qs=sGAEpiMZZMvwyOPDUMfDHxTyoJ3MWc7yFlV674g7o7w%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EPY.00.250.NTN&utm_content=LEMO,IP50,Connectors,Socket (Female),Solder,325
383,651-1404643,1404643,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1404643-1291426.pdf,194  In Stock,$33.09,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1404643?qs=sGAEpiMZZMvwyOPDUMfDH%252BP0RmVupIFlBkaMB64SpB4%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1404643&utm_content=Phoenix-Contact,IP67,Connectors,Pin (Male),Screw,326
384,651-1411194,1411194,Phoenix Contact,https://www.phoenixcontact.com/us/products/1411194/pdf,7  In Stock,$129.57,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1411194?qs=sGAEpiMZZMvwyOPDUMfDH9jWWbWQ69tKDp3hMV686OHP75qwPiKsug%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1411194&utm_content=Phoenix-Contact,IP68,,,,327
385,651-1629212,1629212,Phoenix Contact,https://www.mouser.com/datasheet/2/324/4/1629212-1898850.pdf,170  In Stock,$18.39,RoHS Compliant,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1629212?qs=sGAEpiMZZMvwyOPDUMfDH11D%2FviRRGo4lLQRoHgESf7u2a7RO4BEcA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1629212&utm_content=Phoenix-Contact,IP68,Connectors,Socket (Female),Crimp,328
386,736-ECG0B309CLV,ECG.0B.309.CLV,LEMO,https://www.mouser.com/datasheet/2/232/ECG_0B_309_CLV-1930548.pdf,50  In Stock,$49.39,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/LEMO/ECG.0B.309.CLV?qs=sGAEpiMZZMvwyOPDUMfDHxTyoJ3MWc7ysZrhSZRmDsU%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ECG.0B.309.CLV&utm_content=LEMO,IP50,Connectors,Socket (Female),Print (Elbow),329
387,736-FGJ1B302CLLD52,FGJ.1B.302.CLLD52,LEMO,https://www.mouser.com/datasheet/2/232/FGJ_1B_302_CLLD52-1938918.pdf,11  In Stock,$42.42,,,https://www.mouser.com/ProductDetail/LEMO/FGJ.1B.302.CLLD52?qs=sGAEpiMZZMvwyOPDUMfDHxTyoJ3MWc7y24NfwDXXmhI%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=FGJ.1B.302.CLLD52&utm_content=LEMO,IP50,Connectors,Socket (Female),Solder,330
388,651-1553129,1553129,Phoenix Contact,https://www.mouser.com/datasheet/2/324/4/1553129-1416240.pdf,"2,079  In Stock",$1.48,RoHS Compliant,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1553129?qs=sGAEpiMZZMvwyOPDUMfDH07LdndQVaeVE1LeUZvvOU8%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1553129&utm_content=Phoenix-Contact,IP67,Accessories,,-,331
389,736-ERN00250CTL,ERN.00.250.CTL,LEMO,https://www.mouser.com/datasheet/2/232/ERN_00_250_CTL-1845143.pdf,"1,044  In Stock",$12.81,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/LEMO/ERN.00.250.CTL?qs=sGAEpiMZZMvwyOPDUMfDH1TZ9mNkhvCHyDSO7jXkcS8%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ERN.00.250.CTL&utm_content=LEMO,IP50,Connectors,Socket (Female),Solder,332
390,651-1422844,1422844,Phoenix Contact,https://www.phoenixcontact.com/us/products/1422844/pdf,135  In Stock,$60.16,RoHS Compliant,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1422844?qs=sGAEpiMZZMvwyOPDUMfDH11D%2FviRRGo4oCjE8uEyHSGYPAU89Q4u5w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1422844&utm_content=Phoenix-Contact,IP65,Connectors,Pin (Male),Crimp,333
391,523-T3300-002,T 3300 002,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/T3300002.pdf,405  In Stock,$12.21,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/T-3300-002?qs=sGAEpiMZZMvwyOPDUMfDH0lXB3%252BfU%2FRN63heNAyrJtc%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T%203300%20002&utm_content=Amphenol-Tuchel,IP40,Connectors,Pin (Male),Solder,334
392,736-EGG1B303CLL,EGG.1B.303.CLL,LEMO,https://www.mouser.com/datasheet/2/232/EGG_1B_303_CLL-1844866.pdf,164  In Stock,$26.12,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/LEMO/EGG.1B.303.CLL?qs=sGAEpiMZZMvwyOPDUMfDH0gQIbFMwzZwP4PPDhpBVaM%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EGG.1B.303.CLL&utm_content=LEMO,IP50,Connectors,Socket (Female),Solder Cup,335
393,706-43-00094,43-00094,Amphenol CONEC,https://www.conec.com/catalog/en/download/download/drawing/?sku=43-00094,867  In Stock,$11.13,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-CONEC/43-00094?qs=sGAEpiMZZMvwyOPDUMfDH6wPndzTjO1Xa%252Be3HjcfFvw%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=43-00094&utm_content=Amphenol-CONEC,IP67,Connectors,Socket (Female),Screw,336
394,523-M12A12PMMSSF8001,M12A-12PMMS-SF8001,Amphenol LTW,https://www.mouser.com/datasheet/2/18/M_Sensor_connectors-1820304.pdf,203  In Stock,$8.59,,,https://www.mouser.com/ProductDetail/Amphenol-LTW/M12A-12PMMS-SF8001?qs=sGAEpiMZZMvwyOPDUMfDHwjnAW%2FALQ2v5V02udL0shtlQI7%252BnSKegw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=M12A-12PMMS-SF8001&utm_content=Amphenol-LTW,IP68,Connectors,Pin (Male),Solder,337
395,651-1503302,1503302,Phoenix Contact,https://www.mouser.com/datasheet/2/324/4/1503302-1414564.pdf,335  In Stock,$7.23,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1503302?qs=sGAEpiMZZMvwyOPDUMfDHy7B%252Bvhtd0CsdwAVzHCtwL0%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1503302&utm_content=Phoenix-Contact,IP67,Accessories,,-,338
396,736-EGG00302CLL,EGG.00.302.CLL,LEMO,https://www.mouser.com/datasheet/2/232/EGG_00_302_CLL-1844893.pdf,371  In Stock,$20.16,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/LEMO/EGG.00.302.CLL?qs=sGAEpiMZZMvwyOPDUMfDH0gQIbFMwzZwg%2FHbQW9RvPs%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EGG.00.302.CLL&utm_content=LEMO,IP50,Connectors,Socket (Female),Solder Cup,339
397,651-1404413,1404413,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1404413-1405324.pdf,2  In Stock,$83.95,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1404413?qs=sGAEpiMZZMvwyOPDUMfDH%252BP0RmVupIFl9dNDdfShKaU%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1404413&utm_content=Phoenix-Contact,IP67,Connectors,Socket (Female),Solder,340
398,651-1619751,1619751,Phoenix Contact,https://www.mouser.com/datasheet/2/324/4/1619751-1424281.pdf,50  In Stock,$62.97,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1619751?qs=sGAEpiMZZMvwyOPDUMfDH5eLqxzyEZqWKZqkoxQDCxGr8rCAKiCogQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1619751&utm_content=Phoenix-Contact,IP67,Connectors,Pin (Male),Solder,341
399,538-84586-0017,84586-0017,Molex,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/845/84586/845860017_sd.pdf,2  In Stock,$66.36,RoHS Compliant,,https://www.mouser.com/ProductDetail/Molex/84586-0017?qs=sGAEpiMZZMvwyOPDUMfDH91%252Bs6j1VNax5gZDL4JsXww%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=84586-0017&utm_content=Molex,IP67,Adapters,"Socket (Female), Socket (Female), Pin (Male)",Pluggable Screw,342
400,654-AHDP021820SNWTA,AHDP02-18-20SN-WTA,Amphenol SINE Systems,https://www.amphenol-sine.com/pdf/datasheet/AHDP02-18-20SN-WTA.pdf,50  In Stock,$13.93,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Amphenol-SINE-Systems/AHDP02-18-20SN-WTA?qs=sGAEpiMZZMvwyOPDUMfDHyfqBI9DgRS6wdGwxQMVx%252B%2F%2FHliHPWjiUA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AHDP02-18-20SN-WTA&utm_content=Amphenol-SINE-Systems,IP69X,Receptacles,Socket (Female),Crimp,343
401,654-AHDP2247PNBRACL2,AHDP02-24-07PN-BRACL22,Amphenol SINE Systems,https://www.amphenol-sine.com/pdf/datasheet/AHDP02-24-07PN-BRACL22.pdf,98  In Stock,$17.78,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Amphenol-SINE-Systems/AHDP02-24-07PN-BRACL22?qs=sGAEpiMZZMvwyOPDUMfDHyfqBI9DgRS68wBTX29%252BpUf6MMWAxIvDTA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AHDP02-24-07PN-BRACL22&utm_content=Amphenol-SINE-Systems,IP69X,Receptacles,Pin (Male),Crimp,344
